,permno
639,85067
640,85082
641,85168
642,85176
643,85177
644,85187
645,85198
646,85234
647,85246
648,85280
649,85372
650,85390
651,85424
652,85427
653,85488
654,85567
655,85571
656,85604
657,85627
658,85645
659,85686
660,85710
661,85724
662,85731
663,85741
664,85789
665,85860
666,85875
667,85889
668,85931
669,85992
670,86004
671,86026
672,86091
673,86102
674,86128
675,86211
676,86242
677,86313
678,86432
679,86489
680,86544
681,86547
682,86563
683,86582
684,86594
685,86717
686,86719
687,86778
688,86799
689,86810
690,86822
691,86827
692,86889
693,86896
694,86949
695,87000
696,87006
697,87034
698,87066
699,87075
700,87077
701,87078
702,87086
703,87179
704,87268
705,87289
706,87318
707,87356
708,87390
709,87415
710,87426
711,87445
712,87659
713,87725
714,87789
715,87812
716,87952
717,88152
718,88159
719,88167
720,88174
721,88197
722,88203
723,88280
724,88281
725,88284
726,88319
727,88343
728,88373
729,88417
730,88436
731,88545
732,88568
733,88597
734,88615
735,88648
736,88681
737,88841
738,88853
739,88865
740,88897
741,88924
742,89031
743,89044
744,89110
745,89167
746,89215
747,89216
748,89290
749,89297
750,89301
751,89307
752,89323
753,89327
754,89353
755,89369
756,89387
757,89395
758,89406
759,89447
760,89449
761,89453
762,89482
763,89506
764,89540
765,89572
766,89574
767,89575
768,89653
769,89753
770,89781
771,89792
772,89796
773,89800
774,89824
775,89826
776,89841
777,89875
778,89876
779,89900
780,89901
781,89908
782,89922
783,89946
784,89952
785,89968
786,89971
787,90011
788,90012
789,90081
790,90090
791,90092
792,90097
793,90125
794,90126
795,90162
796,90164
797,90175
798,90179
799,90188
800,90214
801,90233
802,90248
803,90249
804,90276
805,90300
806,90307
807,90377
808,90423
809,90427
810,90440
811,90455
812,90458
813,90464
814,90494
815,90537
816,90564
817,90569
818,90603
819,90634
820,90680
821,90715
822,90734
823,90755
824,90756
825,90775
826,90790
827,90803
828,90871
829,90900
830,90963
831,90971
832,91018
833,91041
834,91086
835,91090
836,91095
837,91114
838,91128
839,91161
840,91186
841,91237
842,91262
843,91356
844,91363
845,91365
846,91392
847,91402
848,91403
849,91413
850,91463
851,91486
852,91498
853,91500
854,91503
855,91514
856,91519
857,91531
858,91571
859,91579
860,91611
861,91614
862,91659
863,91683
864,91688
865,91733
866,91743
867,91787
868,91815
869,91854
870,91855
871,91902
872,91915
873,91975
874,91977
875,92043
876,92052
877,92210
878,92220
879,92229
880,92245
881,92293
882,92343
883,92400
884,92428
885,92432
886,92443
887,92457
888,92477
889,92570
890,92587
891,92596
892,92597
893,92635
894,92648
895,92729
896,92775
897,92780
898,92782
899,92854
900,92871
901,92940
902,92951
903,92976
904,92984
905,93014
906,93035
907,93071
908,93073
909,93079
910,93174
911,93175
912,93178
913,93179
914,93200
915,93266
916,93289
917,93314
918,93330
919,93356
920,93373
921,93374
922,93420
923,93423
924,93427
